Weight,HDon,HAcc,XlogP,TPSA,Polariz,Dipole,LogS,2DACorr_Ident_1,2DACorr_Ident_2,2DACorr_Ident_3,2DACorr_Ident_4,2DACorr_Ident_5,2DACorr_Ident_6,2DACorr_Ident_7,2DACorr_Ident_8,2DACorr_Ident_9,2DACorr_Ident_10,2DACorr_Ident_11,2DACorr_SigChg_1,2DACorr_SigChg_2,2DACorr_SigChg_3,2DACorr_SigChg_4,2DACorr_SigChg_5,2DACorr_SigChg_6,2DACorr_SigChg_7,2DACorr_SigChg_8,2DACorr_SigChg_9,2DACorr_SigChg_10,2DACorr_SigChg_11,2DACorr_PiChg_1,2DACorr_PiChg_2,2DACorr_PiChg_3,2DACorr_PiChg_4,2DACorr_PiChg_5,2DACorr_PiChg_6,2DACorr_PiChg_7,2DACorr_PiChg_8,2DACorr_PiChg_9,2DACorr_PiChg_10,2DACorr_PiChg_11,2DACorr_TotChg_1,2DACorr_TotChg_2,2DACorr_TotChg_3,2DACorr_TotChg_4,2DACorr_TotChg_5,2DACorr_TotChg_6,2DACorr_TotChg_7,2DACorr_TotChg_8,2DACorr_TotChg_9,2DACorr_TotChg_10,2DACorr_TotChg_11,2DACorr_SigEN_1,2DACorr_SigEN_2,2DACorr_SigEN_3,2DACorr_SigEN_4,2DACorr_SigEN_5,2DACorr_SigEN_6,2DACorr_SigEN_7,2DACorr_SigEN_8,2DACorr_SigEN_9,2DACorr_SigEN_10,2DACorr_SigEN_11,2DACorr_PiEN_1,2DACorr_PiEN_2,2DACorr_PiEN_3,2DACorr_PiEN_4,2DACorr_PiEN_5,2DACorr_PiEN_6,2DACorr_PiEN_7,2DACorr_PiEN_8,2DACorr_PiEN_9,2DACorr_PiEN_10,2DACorr_PiEN_11,2DACorr_LpEN_1,2DACorr_LpEN_2,2DACorr_LpEN_3,2DACorr_LpEN_4,2DACorr_LpEN_5,2DACorr_LpEN_6,2DACorr_LpEN_7,2DACorr_LpEN_8,2DACorr_LpEN_9,2DACorr_LpEN_10,2DACorr_LpEN_11,2DACorr_Polariz_1,2DACorr_Polariz_2,2DACorr_Polariz_3,2DACorr_Polariz_4,2DACorr_Polariz_5,2DACorr_Polariz_6,2DACorr_Polariz_7,2DACorr_Polariz_8,2DACorr_Polariz_9,2DACorr_Polariz_10,2DACorr_Polariz_11,CTAB_NAME,Name_of_compounds,@recordNo
197.188,5,5,-1.7565,103.78,19.287,3.10415,0.161304,14,14,19,18,12,11,9,6,2,0,0,0.727796,-0.261555,-0.152447,0.38739,0.0745744,0.0207284,-0.0887945,0.176392,0.24035,0,0,0.0418058,-0.0109986,-0.00841248,-0.0019441,-0.00329102,0.00115818,0.00633875,0.000114517,-0.00386809,0,0,0.823451,-0.352025,-0.141743,0.404672,0.0788141,0.0657286,-0.104326,0.141185,0.256504,0,0,1325.36,1276.31,1670.23,1534.85,1029.71,1031.05,931,678.909,240.545,0,0,427.473,353.52,391.38,342.597,243.108,254.272,264.538,235.984,98.6193,0,0,72.0337,0,17.0264,30.1666,0,0,6.40002,41.0648,34.6644,0,0,722.153,803.142,1031.32,922.963,619.653,487.549,337.357,175.315,44.543,0,0,1325,L-DOPA,@1
394.434,4,6,0.257778,115.06,38.458,4.36458,-2.13727,28,31,53,70,64,50,37,29,20,13,7,0.938591,-0.233155,-0.403647,0.322566,0.305601,0.0599746,0.203501,0.339793,0.168476,-0.0840778,0.138162,0.0333932,-0.0136092,0.0123743,-0.0154618,1.11117e-15,2.8257e-17,-4.29256e-16,0.00712144,-0.00913792,0.00518146,-0.0114349,1.10849,-0.300365,-0.42159,0.283845,0.301655,0.0343726,0.225787,0.335087,0.177158,-0.152818,0.171346,2385.33,2484.22,4152.24,5482.76,5011.5,4050.59,3198.36,2527.71,1792.92,1267.83,792.885,432.059,241.965,275.881,331.033,128.414,104.018,152.647,235.195,268.077,219.718,203.628,95.3267,0,0,54.4066,25.621,22.0936,69.5343,41.7994,14.0148,0,25.1293,2425.38,3118.87,5228.5,6165.09,5233.18,3881.31,2727.11,1933.29,1198.67,657.653,282.078,1324,Triamcinolone,@2
232.235,2,5,1.32702,75.27,23.882,0.688057,-2.58942,17,18,26,31,29,18,10,3,1,0,0,0.530611,-0.347611,0.29039,-0.484682,0.377081,0.0569717,0.0681709,0.0115799,0.0147627,0,0,0.259028,0.00569389,-0.110635,-0.105555,0.0799522,0.00250056,-0.000843735,-8.41803e-05,-0.000542605,0,0,1.1478,-0.476791,0.270199,-1.06055,0.723338,0.0475025,0.103158,0.0397581,0.0314532,0,0,1734.09,1727.56,2493.63,3073.4,2928.67,1636.69,965.307,322.977,113.032,0,0,549.642,480.21,579.328,756.449,742.574,486.356,302.615,114.481,38.5554,0,0,86.2634,0,91.5425,0,61.4362,0,0,0,0,0,0,1156.83,1372.6,1977.23,2131.78,1655.6,987.58,465.445,123.346,33.1242,0,0,1330,Phenobarbitol,@3
809.572,10,24,-5.43554,363.63,67.67,3.81061,-0.595565,51,53,79,77,81,81,75,82,80,68,67,3.68934,-3.09592,2.1494,-0.824371,0.643332,0.226333,0.229368,0.109697,0.498605,0.555309,-0.252416,0.67645,-0.166811,-0.147882,-0.00693375,0.0151417,0.0450227,-0.0078648,-0.158445,0.119762,-0.0201166,-0.163384,5.75248,-4.68063,3.05084,-1.47776,0.739648,0.316651,0.234985,-0.613249,1.07002,0.581626,-1.0199,5576.09,5727.31,8240.23,7819.33,8455.08,8452.75,8246.7,9221.45,9053.24,7702.66,7391.38,1489.98,1277.19,1574.01,971.167,1116.84,994.077,1390.96,1790.87,2142.01,1965.31,1750.04,363.005,0,400.13,128.081,253.686,234.81,248.135,309.258,303.606,289.083,216.893,3034.11,3511.32,4925.1,4798.16,4768.61,4608.52,4281.65,4311.62,4082.53,3624.46,3549.44,1319,"Acetyl CoA",@4
192.211,0,3,2.96632,27.69,20.554,2.12909,-2.91376,14,15,20,19,17,11,6,3,0,0,0,0.497726,-0.254116,0.000721696,0.102057,0.0503357,0.0125356,0.0651566,0.00969961,0,0,0,0.00739414,-0.000589371,0.000110665,-0.00165383,-0.00156249,2.69203e-05,-6.25637e-06,-2.27011e-05,0,0,0,0.425429,-0.229497,0.0274295,0.0959794,0.056497,0.00765899,0.0581708,0.00630002,0,0,0,1211.42,1328.83,1787.82,1639.07,1431.92,882.619,477.02,227.936,0,0,0,376.748,321.036,474.273,445.169,275.177,167.876,142.914,37.9763,0,0,0,61.9481,0,21.6751,20.0994,20.0558,0,0,0,0,0,0,812.818,933.972,1266.31,1150.11,896.646,503.321,241.966,95.2562,0,0,0,1335,Myristicin,@7
292.284,1,6,-0.433525,85.36,26.957,4.61679,-0.888067,21,25,43,52,45,27,13,5,0,0,0,0.860078,-0.396678,-0.0609473,-0.0575408,-0.0195169,0.389031,-0.0978787,0.1374,0,0,0,0.0760186,-0.0234588,-0.0145505,0.0036404,0.00770991,-0.000844449,-0.0360024,0.0254966,0,0,0,1.15728,-0.579901,0.022841,-0.12219,-0.130211,0.536879,-0.249039,0.266888,0,0,0,1967.35,2228.69,3732.98,4556.98,4156.43,2565.81,1192.71,531.923,0,0,0,413.261,232.208,143.516,210.34,381.614,383.135,250.896,138.311,0,0,0,102.878,0,36.2287,58.9652,58.1626,68.5691,15.4161,14.0498,0,0,0,1634.1,2201.37,3743.32,4044.26,3070.47,1535.61,681.545,181.325,0,0,0,1334,picrotoxinin,@8
200.261,0,2,2.10507,25.78,22.299,3.02894,-2.82906,14,15,19,14,10,10,10,8,4,1,0,0.166752,-0.08401,0.0211633,0.0419572,0.00346268,-0.0379523,0.0623464,0.00255626,0.00316903,-0.000399204,0,0.0540913,-0.0177065,-0.00568171,-0.00255426,-0.000997941,-0.00904564,0.0265193,-0.024466,0.00688709,-1.10126e-16,0,0.352151,-0.192882,0.0462567,0.0429836,0.000771557,-0.0653833,0.154188,-0.0806346,0.0152601,-0.000966457,0,1233.92,1337.78,1688.04,1233.6,900.789,874.938,865.684,675.178,322.108,71.3143,0,456.912,458.402,560.805,402.221,291.205,308.473,306.53,187.425,47.8831,0,0,40.8497,0,10.0238,0,0,0,2.90946,10.1677,0,0,0,893.761,987.684,1232.7,889.057,658.465,650.759,617.678,448.973,202.923,42.7697,0,2075,"3-[(2-Methyl-1,3-thiazol-4-yl)ethynyl]pyridine",@9
230.259,0,3,2.75726,35.53,25.86,4.8576,-3.22086,17,18,23,21,17,15,13,13,10,5,1,0.461191,-0.233634,0.131983,-0.199365,0.257581,0.00989596,0.000567067,0.0356206,0.0417676,0.0286558,-0.00348096,0.0786667,-0.0269856,0.0118789,-0.0154632,-0.00844138,-0.000813424,0.000687256,0.000139167,-3.30014e-05,-0.000301997,1.58609e-18,0.639959,-0.420522,0.357817,-0.357728,0.285329,0.00159719,-0.0183874,0.0347301,0.05843,0.0423505,-0.00340926,1492.48,1544.31,1950.54,1788.04,1505.04,1266.5,1094.59,1129.07,861.804,412.704,70.3361,512.963,452.686,520.873,471.367,413.338,290.213,331.488,401.956,290.448,108.833,0,52.9091,0,15.3147,0,35.5091,0,0,0,0,0,0,1054.22,1171.66,1473.14,1325.95,1018.92,903.412,801.964,712.592,474.828,206.538,35.4939,1332,"D,L Kavain",@10
380.908,0,1,3.04164,12.53,30.937,3.57533,-4.18446,19,23,41,46,34,21,6,0,0,0,0,0.326765,-0.0314271,-0.124462,-0.0876539,0.0310666,-0.043238,0.151203,0,0,0,0,0.00127909,-0.000319772,-0.000639545,0.000319772,5.7047e-17,1.29077e-16,-7.92888e-17,0,0,0,0,0.312303,-0.033022,-0.120177,-0.0688082,0.0169738,-0.0332634,0.141016,0,0,0,0,1705.33,1915.36,3489.94,4228.7,3074.41,1816.56,548.68,0,0,0,0,250.169,95.3644,146.227,364.482,208.462,83.2587,89.1909,0,0,0,0,176.255,0,26.3709,184.785,189.047,39.7253,84.1023,0,0,0,0,2397.57,3276.55,5810.24,5579.52,3521.63,1742.51,371.454,0,0,0,0,1331,Dieldrin,@11
151.166,4,4,0.778679,67.15,16.786,4.3537,-1.87274,11,11,13,10,7,7,5,2,0,0,0,0.340109,-0.172466,0.120621,0.182555,-0.00891807,0.0201002,0.0441628,0.0316713,0,0,0,0.217681,0.0169139,-0.074357,-0.0616692,-0.0204983,0.0230188,-0.00599873,0.0137502,0,0,0,0.620755,-0.31776,0.14713,0.103934,-0.106605,0.114546,0.0479485,0.0882094,0,0,0,1022.78,991.803,1136.55,859.193,646.641,656.964,471.166,186.88,0,0,0,325.05,330.658,369.493,286.706,211.208,204.483,146.797,52.3316,0,0,0,74.0906,27.3973,39.2236,28.9542,0,0,0,0,0,0,0,549.313,582.038,672.831,527.962,336.971,283.13,176.256,63.6146,0,0,0,1333,1-phenylsemicarbazide,@12
