name,diameter,petitjean,petitjeanSC,radius,VDistEq,VDistMa,weinerPath,weinerPol,BCUT_PEOE_0,BCUT_PEOE_1,BCUT_PEOE_2,BCUT_PEOE_3,BCUT_SLOGP_0,BCUT_SLOGP_1,BCUT_SLOGP_2,BCUT_SLOGP_3,BCUT_SMR_0,BCUT_SMR_1,BCUT_SMR_2,BCUT_SMR_3,GCUT_PEOE_0,GCUT_PEOE_1,GCUT_PEOE_2,GCUT_PEOE_3,GCUT_SLOGP_0,GCUT_SLOGP_1,GCUT_SLOGP_2,GCUT_SLOGP_3,GCUT_SMR_0,GCUT_SMR_1,GCUT_SMR_2,GCUT_SMR_3,a_aro,a_count,a_IC,a_ICM,a_nH,b_1rotN,b_1rotR,b_ar,b_count,b_double,b_rotN,b_rotR,b_single,b_triple,chi0v,chi0v_C,chi1v,chi1v_C,chiral,chiral_u,nmol,reactive,rings,Weight,a_heavy,a_nB,a_nBr,a_nC,a_nCl,a_nF,a_nI,a_nN,a_nO,a_nP,a_nS,b_heavy,chi0,chi0_C,chi1,chi1_C,FCharge,VAdjEq,VAdjMa,zagreb,balabanJ,PEOE_PC+,PEOE_PC-,PEOE_RPC+,PEOE_RPC-,PEOE_VSA+0,PEOE_VSA+1,PEOE_VSA+2,PEOE_VSA+3,PEOE_VSA+4,PEOE_VSA+5,PEOE_VSA+6,PEOE_VSA-0,PEOE_VSA-1,PEOE_VSA-2,PEOE_VSA-3,PEOE_VSA-4,PEOE_VSA-5,PEOE_VSA-6,PEOE_VSA_FHYD,PEOE_VSA_FNEG,PEOE_VSA_FPNEG,PEOE_VSA_FPOL,PEOE_VSA_FPOS,PEOE_VSA_FPPOS,PEOE_VSA_HYD,PEOE_VSA_NEG,PEOE_VSA_PNEG,PEOE_VSA_POL,PEOE_VSA_POS,PEOE_VSA_PPOS,PC+,PC-,Q_PC+,Q_PC-,Q_RPC+,Q_RPC-,Q_VSA_FHYD,Q_VSA_FNEG,Q_VSA_FPNEG,Q_VSA_FPOL,Q_VSA_FPOS,Q_VSA_FPPOS,Q_VSA_HYD,Q_VSA_NEG,Q_VSA_PNEG,Q_VSA_POL,Q_VSA_POS,Q_VSA_PPOS,RPC+,RPC-,lip_acc,lip_don,lip_druglike,lip_violation,opr_brigid,opr_leadlike,opr_nring,opr_nrot,opr_violation,Kier1,Kier2,Kier3,KierA1,KierA2,KierA3,KierFlex,logS,apol,bpol,mr,a_acc,a_acid,a_base,a_don,a_hyd,vsa_acc,vsa_acid,vsa_base,vsa_don,vsa_hyd,vsa_other,vsa_pol,SlogP,SlogP_VSA0,SlogP_VSA1,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,SMR,SMR_VSA0,SMR_VSA1,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,TPSA,density,vdw_area,vdw_vol,logP(o/w)
1325,8,0.5,1,4,2.813458,7.2928128,321,18,-2.4796262,-0.72912878,0.78971833,2.50634,-2.7318888,-0.68548989,0.79554653,2.470031,-2.2291598,-0.58251387,0.91537446,2.7499163,-0.81081915,-0.48173141,0.1842486,2.2848492,-1.3634712,-0.412056,0.16542514,2.3620329,-0.49916703,-0.25246677,0.28364262,2.5441172,6,25,41.513332,1.6605333,11,3,0.21428572,6,25,1,3,0.21428572,18,0,7.3437471,5.0165076,3.9967885,2.7885108,1,0,1,0,1,197.19,14,0,0,9,0,0,0,1,4,0,0,14,10.715178,5.7151785,6.5029078,3.6161563,0,0.59167278,4.8073549,66,2.3459485,1.7842343,-1.7842343,0.15517105,0.20023973,8.5307722,20.207504,34.155064,0,30.972517,14.708499,0,35.419662,12.254904,0,0,0,13.566921,29.953741,0.55347717,0.45650205,0.21785429,0.44652283,0.54349792,0.22866853,110.56791,91.195229,43.52066,89.201675,108.57436,45.681019,0,0,0,0,0,0,1,0,0,0,1,0,199.76958,0,0,0,199.76958,0,0,0,5,4,1,0,6,1,1,3,0,12.071428,5.1855955,3.5918367,9.3661032,3.9374435,2.682368,2.6341789,-0.38321,27.482723,12.323277,4.9376984,5,0,0,5,8,0,0,0,0,89.059105,14.708499,72.01017,0.052170001,83.667641,7.7454643,27.844185,25.385227,3.185575,18.868406,0,52.929554,0,10.486856,4.90868,23.862217,50.770454,25.385227,17.6544,32.897186,71.797958,7.7454643,0,103.78,0.80956817,199.76958,243.5743,-2.10373
1324,12,0.5,1,6,3.152231,9.3609161,1670,70,-2.8971343,-0.51357943,0.58887064,3.0007873,-2.8770101,-0.52018654,0.5206762,3.0164518,-2.672205,-0.40770409,0.69036728,3.2197988,-0.79009575,-0.43544659,0.067227744,3.3411512,-0.9601298,-0.3672449,-0.0040809992,3.3701541,-0.53686237,-0.23228064,0.1603871,3.5544074,0,55,81.844383,1.4880797,27,2,0.064516127,0,58,4,2,0.064516127,54,0,16.060301,13.076985,9.823184,8.1697206,8,8,1,1,4,394.439,28,0,0,21,0,1,0,0,6,0,0,31,20.698307,13.698306,12.963233,8.9467258,0,0.39893496,5.9541965,168,1.7703513,2.7507966,-2.7507966,0.076660581,0.14126112,68.246178,39.667561,14.951293,16.917038,41.296692,0,0,78.062737,33.211121,0,0,11.908636,27.133842,31.070162,0.69263446,0.5004245,0.19343272,0.30736554,0.4995755,0.11393283,251.05592,181.38651,70.11264,111.40933,181.07877,41.296692,0,0,0,0,0,0,1,0,0,0,1,0,362.46527,0,0,0,362.46527,0,0,0,6,4,1,0,20,1,4,2,0,21.240376,6.4976859,2.3951247,18.608292,5.6632929,2.0799332,3.7637215,-2.57305,60.332413,32.63559,9.7807083,6,0,0,4,20,27.133842,0,0,0,226.98613,16.917038,81.401527,1.0404,101.54091,11.375222,60.661732,20.926258,8.8215923,3.185575,0,52.929554,75.473625,81.612144,9.6749201,47.724434,116.50102,8.8215923,16.122873,0,128.40317,32.301479,66.652031,115.06,0.79028499,362.46527,499.10983,0.778
1330,8,0.5,1,4,2.6406655,7.9212403,458,31,-2.5613515,-0.55450386,0.55760205,2.6591647,-2.7842083,-0.50674492,0.67126656,2.6011665,-2.3223538,-0.38156867,0.7004329,2.8980157,-0.76103753,-0.43633094,0.086986333,2.5332735,-1.183949,-0.3545354,0.1554832,2.5106981,-0.51807946,-0.21506928,0.16946924,2.7875495,6,29,48.08746,1.6581883,12,2,0.11111111,6,30,3,2,0.11111111,21,0,9.3186026,7.0938582,5.3337164,3.7213438,0,0,1,0,2,232.239,17,0,0,12,0,0,0,2,3,0,0,18,12.466255,8.052042,8.1082258,4.7431822,0,0.54234898,5.1699252,88,2.2186267,1.7586164,-1.7586164,0.18709083,0.15777408,21.326929,21.326929,0,17.238026,25.899061,0,17.440542,10.909853,80.022194,0,0,13.566921,27.407623,0,0.6414271,0.56097502,0.17425737,0.35857293,0.43902496,0.18431555,150.82393,131.9066,40.974545,84.314148,103.23149,43.339603,0,0,0,0,0,0,1,0,0,0,1,0,235.13809,0,0,0,235.13809,0,0,0,5,2,1,0,12,1,2,2,0,13.432098,5.3254437,2.2907231,9.0361023,3.4842544,1.4656065,1.8520046,-2.94871,33.727516,17.312485,6.2230406,3,0,0,2,9,40.700764,0,0,11.365152,126.46796,43.339603,52.065914,0.70039999,36.0215,15.347524,47.724434,0,3.185575,0,0,88.215919,18.868406,57.188232,6.0092402,71.586647,0,36.0215,3.185575,0,107.08433,15.347524,33.326015,75.269997,0.78021657,235.13809,297.65964,1.7180001
1319,27,0.48148149,0.9285714,14,4.5121784,11.023141,12783,77,-2.6854446,-0.55126607,0.63034743,2.7895875,-2.7885022,-0.73337013,0.44622791,2.741858,-2.4586003,-0.41984162,0.72213709,2.9858382,-0.84283453,-0.42436016,0.12117191,2.8852322,-1.334746,-0.49360737,0.001116717,2.8679523,-0.52969563,-0.23486778,0.21523651,3.1077709,9,89,178.98387,2.0110548,38,19,0.35849056,10,91,3,22,0.41509435,78,0,30.573977,14.784093,20.047314,5.6927052,7,7,1,0,3,809.57697,51,0,0,23,0,0,0,7,17,3,1,53,38.363232,15.507708,23.517094,6.0360756,0,0.24573661,6.7279205,264,1.5013669,6.5437689,-6.5437689,0.066551812,0.058933202,154.08412,56.134445,100.84755,89.555801,33.597878,12.949531,56.139206,0,64.08416,47.187408,0,17.047728,101.06882,18.312618,0.68160743,0.32982382,0.1816611,0.31839257,0.67017621,0.13673149,511.89349,247.70074,136.42917,239.11578,503.30853,102.68661,0,0,0,0,0,0,1,0,0,0,1,0,751.00928,0,0,0,751.00928,0,0,0,24,9,0,3,15,0,3,21,5,45.38982,19.235699,14.222222,43.765541,18.533567,13.695921,15.904541,-2.68698,100.94213,88.189865,18.060268,19,0,0,12,16,74.25016,0,0,29.107641,266.82861,184.21272,240.5956,-4.4305,272.21832,66.826019,132.0694,95.96524,0,0,0,37.430504,24.908228,184.61003,17.08246,173.49609,188.25401,36.0215,31.914419,6.187367,85.336655,110.53558,182.2821,363.63,0.94314647,751.00928,858.37885,-5.0329399
1318,6,0.5,1,3,2.5730703,7.329349,322,13,-2.7415445,-0.14593706,0.092194863,2.7223597,-2.8881037,-0.065103106,0.123,2.5765874,-2.5329573,0.06132929,0.1057,2.9126234,-0.89394015,-0.29812354,-0.067805134,2.5658457,-1.0106835,-0.29713446,-0.037,2.4652557,-0.61044043,-0.14015201,-0.054299999,2.7314792,0,32,48.412025,1.5128758,18,5,0.38461539,0,31,2,6,0.46153846,29,0,9.1107359,6.9915638,4.3996,1.67005,1,0,1,0,0,204.246,14,0,0,9,0,0,0,1,4,0,0,13,11.353372,7.1462646,6.204196,1.8020952,1,0.56466961,4.7004399,62,4.118803,2.4977162,-1.4977162,0.10501357,0.22113734,40.074608,129.60201,18.097254,0,10.324173,29.416998,0,0,0,0,0,0,27.133842,10.271297,0.70879412,0.14119399,0.14119399,0.29120585,0.85880601,0.15001187,187.77388,37.40514,37.40514,77.146309,227.51505,39.741173,0,0,0,0,0,0,1,0,0,0,1,0,264.9202,0,0,0,264.9202,0,0,0,5,1,1,0,0,1,0,5,0,14,5.7777777,9.3727808,12.191621,4.9737778,7.9975386,4.3313155,0.34865999,32.150272,26.149727,5.2180324,3,0,1,2,7,13.566921,0,0,0,175.67336,31.920755,40.700764,0.098999999,0,15.490929,65.19297,43.824806,0,98.691559,0,0,18.868406,33.326015,5.0706201,58.724319,0,25.385227,6.4686494,0,18.868406,33.930508,132.01758,63.599998,0.73284477,264.9202,278.70294,-0.54500002
1323,6,0.5,1,3,2.5045464,6.5864449,170,9,-2.7419937,-0.20461491,0.21117586,2.7140379,-2.8895476,-0.19611272,0.21241736,2.5662534,-2.5321569,-0.050560933,0.26064494,2.9055333,-0.89402282,-0.28751186,-0.016321344,2.4896266,-1.0106902,-0.3355082,-0.027469538,2.3799622,-0.61038375,-0.17100151,0.014264435,2.6494057,0,27,39.97559,1.4805775,16,4,0.40000001,0,26,1,4,0.40000001,25,0,7.2414527,5.4915638,3.5138483,1.17005,1,0,1,0,0,162.209,11,0,0,7,0,0,0,1,3,0,0,10,9.0689144,5.5689139,4.810349,1.2247449,1,0.64681429,4.321928,48,3.617074,2.3122582,-1.3122581,0.11342478,0.29390094,8.5307722,129.60201,18.097254,0,20.648346,14.708499,0,0,0,0,0,0,13.566921,15.535081,0.70791984,0.1318689,0.1318689,0.29208016,0.8681311,0.16021127,156.23004,29.102001,29.102001,64.458847,191.58688,35.356846,0,0,0,0,0,0,1,0,0,0,1,0,220.68889,0,0,0,220.68889,0,0,0,4,2,1,0,0,1,0,4,0,11,4.1326532,7.9012346,10.06763,3.7458827,7.1001606,3.4283783,0.96673,26.494688,21.089312,4.1704278,3,0,1,3,6,0,0,0,0,146.26491,14.708499,40.700764,-0.4718,25.385227,7.7454643,30.330866,43.824806,0,98.691559,0,0,18.868406,0,4.1159,23.862217,25.385227,25.385227,6.4686494,0,18.868406,26.185041,98.691559,57.529999,0.71607041,220.68889,226.5266,-1.1339999
1335,7,0.42857143,0.75,4,2.6225438,7.3197494,292,19,-2.3375292,-0.57835627,0.49037942,2.3876143,-2.302434,-0.52515423,0.61568671,2.53811,-2.0477815,-0.33875,0.75896055,2.6647241,-0.78214747,-0.39119047,-0.052729581,2.3038974,-0.9435851,-0.3496168,0.10360241,2.4655805,-0.49699807,-0.20339282,0.13097192,2.5776582,6,26,36.383247,1.3993556,12,3,0.2,6,27,1,3,0.2,20,0,8.0781164,6.8533711,4.4227214,2.8247504,0,0,1,0,2,192.21399,14,0,0,11,0,0,0,0,3,0,0,15,9.9662552,7.8449349,6.8468666,3.915015,0,0.61744827,4.9068904,70,1.9786839,1.2608545,-1.2608545,0.12701158,0.27381739,33.528431,42.653858,25.375559,21.201273,0,0,0,35.419662,12.254904,22.301268,0,0,0,7.5112681,0.96248984,0.38695911,0.037510164,0.037510164,0.61304086,0,192.73495,77.487099,7.5112681,7.5112681,122.75912,0,0,0,0,0,0,0,1,0,0,0,1,0,200.24622,0,0,0,200.24622,0,0,0,3,0,1,0,11,1,2,3,0,10.515555,4.6799998,2.1728394,8.2391958,3.5916359,1.6411675,2.113728,-2.8619699,29.767515,18.866484,5.3319573,3,0,0,0,10,7.5112681,0,0,0,155.88495,28.308455,7.5112681,2.15237,32.999664,0,0,22.984112,3.185575,54.252274,0,52.929554,0,47.831078,5.3017998,0,32.999664,0,18.915859,0,71.797958,22.984112,67.484665,27.690001,0.73029017,200.24622,263.20221,2.5239999
1334,7,0.42857143,0.75,4,2.5662487,8.5608711,695,52,-2.7624433,-0.56411844,0.513367,3.0981557,-2.8700531,-0.58788747,0.50961691,2.9601593,-2.562294,-0.37455162,0.64471966,3.2901661,-0.78657424,-0.44339636,0.019585472,3.0967321,-0.91458088,-0.40277818,-0.0083591314,3.0209522,-0.53075719,-0.25098363,0.12559016,3.2962894,0,37,54.636642,1.476666,16,1,0.039999999,0,41,3,1,0.039999999,38,0,11.78942,9.3009653,7.2600651,5.3087306,8,8,1,1,5,292.28699,21,0,0,15,0,0,0,0,6,0,0,25,14.947229,9.8259087,9.787365,5.7378693,0,0.51002371,5.643856,142,1.7271576,2.1483197,-2.1483197,0.13875286,0.18011419,51.355175,21.326929,14.714787,0,10.324173,29.416998,0,18.747677,43.257484,0,0,0,27.133842,15.278809,0.64520949,0.45094004,0.18316379,0.35479048,0.54905999,0.1716267,149.40205,104.41782,42.412651,82.153824,127.13806,39.741173,0,0,0,0,0,0,1,0,0,0,1,0,231.55588,0,0,0,231.55588,0,0,0,6,1,1,0,19,1,5,1,1,13.44,3.4120984,1.0125,11.804927,2.9764655,0.87858462,1.6731884,-2.2240901,41.880688,25.155312,6.7951732,4,0,0,1,13,29.637598,0,0,0,136.03502,34.424511,43.204517,-0.061999999,25.385227,15.490929,100.13004,0,8.8215923,3.185575,0,0,18.868406,98.752823,6.6831799,80.724098,25.385227,8.8215923,22.591522,0,18.868406,15.490929,98.752823,85.360001,0.84035027,231.55588,347.81567,-0.24699999
2075,9,0.44444445,0.80000001,5,2.9443355,7.2614088,342,14,-2.1384189,-0.57738167,0.69289982,2.174062,-2.0288239,-0.49053839,0.78119892,2.3178666,-1.8884513,-0.43152955,0.92428768,2.4814899,-0.76320893,-0.35083047,0.081437133,2.0083234,-0.74179506,-0.25662485,0.15282834,2.1324382,-0.47841537,-0.18724926,0.33981854,2.3339572,11,22,34.053749,1.5478976,8,2,0.13333334,11,23,0,2,0.13333334,11,1,8.5059233,6.3867512,5.0657825,2.782692,0,0,1,0,2,200.265,14,0,0,11,0,0,0,2,0,0,1,15,9.8031187,7.6817985,6.8433366,4.1185918,0,0.61744827,4.9068904,68,1.6305314,0.82199895,-0.82199895,0.21319494,0.31879273,48.496529,21.326929,6.6995511,19.760618,0,0,0,67.741592,30.039461,0,0,0,11.365152,0,0.94467622,0.53130651,0.055323768,0.055323768,0.46869349,0,194.06468,109.1462,11.365152,11.365152,96.28363,0,0,0,0,0,0,0,1,0,0,0,1,0,205.42984,0,0,0,205.42984,0,0,0,2,0,1,0,12,1,2,2,0,10.515555,5.1855955,3.2727273,7.6881599,3.6904399,2.2812479,2.0266209,-1.81128,29.794344,13.665656,6.0054555,2,0,0,0,12,11.365152,0,0,0,188.37032,0,11.365152,2.2463281,0,33.57106,0,34.061146,6.8718963,0,0,85.53109,0,64.603706,5.7068,0,33.57106,0,40.933044,0,85.53109,0,64.603706,25.780001,0.7511729,205.42984,266.60306,2.2850001
1332,10,0.5,1,5,3.11342,7.8496466,574,21,-2.4987044,-0.62571454,0.58556324,2.5253201,-2.5061443,-0.49650469,0.67220396,2.5374155,-2.2543285,-0.40896982,0.73129308,2.7674241,-0.79374367,-0.4372319,0.064873651,2.3589029,-0.84030348,-0.28371644,0.13764535,2.442096,-0.49830103,-0.21126328,0.16799204,2.6287,6,31,42.219261,1.3619117,14,3,0.16666667,6,32,3,3,0.16666667,23,0,9.6280041,8.4032593,5.4615002,4.2051773,1,1,1,0,2,230.263,17,0,0,14,0,0,0,0,3,0,0,18,12.087576,9.6733618,8.2751884,5.7659864,0,0.54234898,5.1699252,82,1.7072295,1.3443867,-1.3443867,0.21518829,0.26174515,54.484646,64.54808,0,0,0,14.708499,0,2.2085397,85.784325,0,0,0,13.566921,5.0075121,0.86149919,0.44346035,0.077294111,0.13850084,0.55653965,0.061206732,207.02559,106.5673,18.574432,33.282932,133.74123,14.708499,0,0,0,0,0,0,1,0,0,0,1,0,240.30853,0,0,0,240.30853,0,0,0,3,0,1,0,13,1,2,3,0,13.432098,6.8052931,4.3017831,9.8559999,4.8878336,3.0372345,2.8337934,-2.8954201,36.381104,20.094898,6.6133289,2,0,0,0,13,16.070677,0,0,0,197.06046,17.212255,16.070677,2.5455999,0,7.7454643,52.330643,0,3.185575,40.627296,0,123.50229,36.511589,0,6.5064998,45.861992,0,0,14.897653,0,142.3707,25.388649,35.383869,35.529999,0.71709454,240.30853,321.1055,3.027
